Data,Produto,Cliente,Quantidade_vendida,Preco_unitario,Valor_total
2020-01-06,Caneta Azul,Cliente Alfa,15,23.75,356.25
2020-01-06,Caneta Azul,Cliente Tau,1,21.47,21.47
2020-01-06,Caneta Amarela,Cliente Kappa,2,18.97,37.94
2020-01-06,Caneta Amarela,Cliente Kappa,16,17.46,279.36
2020-01-06,Caneta Amarela,Cliente Delta,29,18.84,546.36
2020-01-06,Caneta Verde,Cliente Tau,27,7.32,197.64
2020-01-06,Caneta Verde,Cliente Delta,24,7.56,181.44
2020-01-06,Caneta Preta,Cliente Lambda,61,12.39,755.79
2020-01-07,Caneta Azul,Cliente Kappa,26,23.28,605.28
2020-01-07,Caneta Azul,Cliente Kappa,40,23.29,931.6
2020-01-07,Caneta Amarela,Cliente Delta,10,22.21,222.1
2020-01-07,Caneta Amarela,Cliente Kappa,2,17.4,34.8
2020-01-07,Caneta Amarela,Cliente Kappa,5,20.73,103.65
2020-01-07,Caneta Amarela,Cliente Delta,1,21.06,21.06
2020-01-07,Caneta Verde,Cliente Kappa,18,7.91,142.38
2020-01-07,Caneta Verde,Cliente Alfa,6,9.26,55.56
2020-01-07,Caneta Verde,Cliente Tau,10,7.24,72.4
2020-01-07,Caneta Verde,Cliente Lambda,6,9.23,55.38
2020-01-07,Caneta Preta,Cliente Alfa,26,14.1,366.6
2020-01-07,Caneta Preta,Cliente Delta,23,13.57,312.11
2020-01-07,Caneta Preta,Cliente Delta,16,12.41,198.56
2020-01-08,Caneta Azul,Cliente Kappa,36,21.31,767.16
2020-01-08,Caneta Azul,Cliente Delta,25,25.06,626.5
2020-01-08,Caneta Amarela,Cliente Delta,36,21.04,757.44
2020-01-08,Caneta Verde,Cliente Lambda,72,6.98,502.56
2020-01-08,Caneta Preta,Cliente Kappa,21,11.45,240.45
2020-01-08,Caneta Preta,Cliente Alfa,13,12.08,157.04
2020-01-08,Caneta Preta,Cliente Lambda,34,14.06,478.04
2020-01-08,Caneta Preta,Cliente Delta,10,12.34,123.4
2020-01-09,Caneta Azul,Cliente Kappa,18,21.22,381.96
2020-01-09,Caneta Azul,Cliente Alfa,18,24.74,445.32
2020-01-09,Caneta Azul,Cliente Alfa,12,23.45,281.4
2020-01-09,Caneta Amarela,Cliente Kappa,19,19.38,368.22
2020-01-09,Caneta Amarela,Cliente Lambda,11,23.04,253.44
2020-01-09,Caneta Verde,Cliente Delta,22,8.51,187.22
2020-01-09,Caneta Verde,Cliente Tau,13,8.91,115.83
2020-01-09,Caneta Verde,Cliente Kappa,12,8.17,98.04
2020-01-09,Caneta Preta,Cliente Alfa,67,12.57,842.19
2020-01-10,Caneta Azul,Cliente Kappa,20,20.22,404.4
2020-01-10,Caneta Azul,Cliente Lambda,19,25.35,481.65
2020-01-10,Caneta Amarela,Cliente Tau,50,23.01,1150.5
2020-01-10,Caneta Verde,Cliente Lambda,3,9.05,27.15
2020-01-10,Caneta Verde,Cliente Delta,8,8.33,66.64
2020-01-10,Caneta Verde,Cliente Alfa,11,9.26,101.86
2020-01-10,Caneta Preta,Cliente Kappa,41,11.82,484.62
2020-01-10,Caneta Preta,Cliente Lambda,27,14.97,404.19
2020-01-10,Caneta Preta,Cliente Lambda,13,14.42,187.46
2020-01-11,Caneta Azul,Cliente Delta,85,21.45,1823.25
2020-01-11,Caneta Amarela,Cliente Lambda,14,22.06,308.84
2020-01-11,Caneta Amarela,Cliente Lambda,23,21.99,505.77
2020-01-11,Caneta Amarela,Cliente Kappa,22,21.09,463.98
2020-01-11,Caneta Verde,Cliente Tau,31,9.15,283.65
2020-01-11,Caneta Verde,Cliente Lambda,17,7.19,122.23
2020-01-11,Caneta Verde,Cliente Tau,14,8.38,117.32
2020-01-11,Caneta Preta,Cliente Lambda,23,13.62,313.26
2020-01-11,Caneta Preta,Cliente Delta,33,11.56,381.48
2020-01-11,Caneta Preta,Cliente Lambda,14,11.58,162.12
2020-01-12,Caneta Azul,Cliente Kappa,43,19.88,854.84
2020-01-12,Caneta Azul,Cliente Tau,27,20.48,552.96
2020-01-12,Caneta Amarela,Cliente Kappa,9,17.47,157.23
2020-01-12,Caneta Amarela,Cliente Delta,17,20.37,346.29
2020-01-12,Caneta Amarela,Cliente Lambda,21,21.55,452.55
2020-01-12,Caneta Verde,Cliente Delta,23,7.76,178.48
2020-01-12,Caneta Verde,Cliente Kappa,26,8.92,231.92
2020-01-12,Caneta Verde,Cliente Delta,19,7.15,135.85
2020-01-12,Caneta Preta,Cliente Tau,14,13.08,183.12
2020-01-12,Caneta Preta,Cliente Kappa,17,12.13,206.21
2020-01-12,Caneta Preta,Cliente Delta,6,13.65,81.9
2020-01-12,Caneta Preta,Cliente Delta,4,14.32,57.28
2020-01-13,Caneta Azul,Cliente Alfa,61,25.45,1552.45
2020-01-13,Caneta Amarela,Cliente Delta,37,20.86,771.82
2020-01-13,Caneta Amarela,Cliente Kappa,12,19.31,231.72
2020-01-13,Caneta Verde,Cliente Lambda,62,7.2,446.4
2020-01-13,Caneta Preta,Cliente Kappa,69,12.13,836.97
2020-01-14,Caneta Azul,Cliente Lambda,15,23.17,347.55
2020-01-14,Caneta Azul,Cliente Delta,21,23.3,489.3
2020-01-14,Caneta Amarela,Cliente Lambda,23,20.94,481.62
2020-01-14,Caneta Amarela,Cliente Delta,31,21.14,655.34
2020-01-14,Caneta Verde,Cliente Alfa,12,8.4,100.8
2020-01-14,Caneta Verde,Cliente Alfa,14,9.27,129.78
2020-01-14,Caneta Verde,Cliente Alfa,1,8.54,8.54
2020-01-14,Caneta Verde,Cliente Kappa,24,8.09,194.16
2020-01-14,Caneta Preta,Cliente Alfa,75,12.99,974.25
2020-01-15,Caneta Azul,Cliente Kappa,15,19.51,292.65
2020-01-15,Caneta Azul,Cliente Alfa,27,19.19,518.13
2020-01-15,Caneta Azul,Cliente Lambda,16,24.5,392.0
2020-01-15,Caneta Azul,Cliente Delta,15,23.71,355.65
2020-01-15,Caneta Amarela,Cliente Alfa,21,21.6,453.6
2020-01-15,Caneta Amarela,Cliente Lambda,17,22.02,374.34
2020-01-15,Caneta Amarela,Cliente Kappa,6,21.7,130.2
2020-01-15,Caneta Verde,Cliente Lambda,2,8.87,17.74
2020-01-15,Caneta Verde,Cliente Delta,6,7.8,46.8
2020-01-15,Caneta Verde,Cliente Lambda,28,8.82,246.96
2020-01-15,Caneta Preta,Cliente Delta,37,12.72,470.64
2020-01-15,Caneta Preta,Cliente Tau,27,15.05,406.35
2020-01-15,Caneta Preta,Cliente Kappa,18,15.27,274.86
2020-01-16,Caneta Azul,Cliente Kappa,65,22.04,1432.6
2020-01-16,Caneta Amarela,Cliente Delta,7,21.22,148.54
2020-01-16,Caneta Amarela,Cliente Lambda,5,21.71,108.55
2020-01-16,Caneta Amarela,Cliente Tau,20,17.71,354.2
2020-01-16,Caneta Amarela,Cliente Alfa,20,20.15,403.0
2020-01-16,Caneta Verde,Cliente Kappa,16,8.05,128.8
2020-01-16,Caneta Verde,Cliente Lambda,19,7.25,137.75
2020-01-16,Caneta Verde,Cliente Lambda,28,7.31,204.68
2020-01-16,Caneta Preta,Cliente Alfa,91,11.84,1077.44
2020-01-17,Caneta Azul,Cliente Kappa,12,19.52,234.24
2020-01-17,Caneta Azul,Cliente Alfa,20,19.58,391.6
2020-01-17,Caneta Azul,Cliente Tau,23,19.6,450.8
2020-01-17,Caneta Azul,Cliente Delta,11,25.39,279.29
2020-01-17,Caneta Amarela,Cliente Tau,15,21.86,327.9
2020-01-17,Caneta Amarela,Cliente Kappa,19,20.53,390.07
2020-01-17,Caneta Verde,Cliente Delta,19,7.23,137.37
2020-01-17,Caneta Verde,Cliente Alfa,17,8.11,137.87
2020-01-17,Caneta Verde,Cliente Tau,20,7.1,142.0
2020-01-17,Caneta Preta,Cliente Kappa,52,13.79,717.08
2020-01-17,Caneta Preta,Cliente Alfa,41,12.59,516.19
2020-01-18,Caneta Azul,Cliente Kappa,80,25.5,2040.0
2020-01-18,Caneta Amarela,Cliente Alfa,61,17.6,1073.6
2020-01-18,Caneta Verde,Cliente Alfa,36,8.25,297.0
2020-01-18,Caneta Verde,Cliente Delta,29,8.51,246.79
2020-01-18,Caneta Preta,Cliente Kappa,83,13.96,1158.68
2020-01-19,Caneta Azul,Cliente Kappa,22,19.34,425.48
2020-01-19,Caneta Azul,Cliente Delta,20,23.2,464.0
2020-01-19,Caneta Azul,Cliente Tau,29,20.89,605.81
2020-01-19,Caneta Azul,Cliente Delta,15,21.4,321.0
2020-01-19,Caneta Amarela,Cliente Alfa,31,23.05,714.55
2020-01-19,Caneta Verde,Cliente Delta,1,8.96,8.96
2020-01-19,Caneta Verde,Cliente Delta,20,8.64,172.8
2020-01-19,Caneta Verde,Cliente Alfa,23,7.99,183.77
2020-01-19,Caneta Verde,Cliente Kappa,25,9.25,231.25
2020-01-19,Caneta Preta,Cliente Lambda,25,14.7,367.5
2020-01-19,Caneta Preta,Cliente Lambda,13,15.35,199.55
2020-01-19,Caneta Preta,Cliente Tau,38,14.83,563.54
2020-01-20,Caneta Azul,Cliente Lambda,26,21.82,567.32
2020-01-20,Caneta Azul,Cliente Alfa,16,24.84,397.44
2020-01-20,Caneta Azul,Cliente Kappa,16,24.49,391.84
2020-01-20,Caneta Azul,Cliente Delta,10,25.38,253.8
2020-01-20,Caneta Amarela,Cliente Tau,10,19.88,198.8
2020-01-20,Caneta Amarela,Cliente Kappa,19,17.93,340.67
2020-01-20,Caneta Amarela,Cliente Delta,15,18.54,278.1
2020-01-20,Caneta Amarela,Cliente Kappa,14,21.22,297.08
2020-01-20,Caneta Verde,Cliente Delta,32,7.24,231.68
2020-01-20,Caneta Preta,Cliente Delta,59,14.55,858.45
2020-01-20,Caneta Preta,Cliente Kappa,27,13.66,368.82
2020-01-21,Caneta Azul,Cliente Alfa,42,21.74,913.08
2020-01-21,Caneta Azul,Cliente Kappa,26,19.93,518.18
2020-01-21,Caneta Amarela,Cliente Alfa,85,18.44,1567.4
2020-01-21,Caneta Verde,Cliente Lambda,60,7.93,475.8
2020-01-21,Caneta Preta,Cliente Tau,20,12.84,256.8
2020-01-21,Caneta Preta,Cliente Alfa,33,13.03,429.99
2020-01-21,Caneta Preta,Cliente Alfa,22,13.94,306.68
2020-01-21,Caneta Preta,Cliente Lambda,8,13.29,106.32
2020-01-22,Caneta Azul,Cliente Delta,15,21.24,318.6
2020-01-22,Caneta Azul,Cliente Kappa,18,23.29,419.22
2020-01-22,Caneta Azul,Cliente Tau,14,19.9,278.6
2020-01-22,Caneta Azul,Cliente Kappa,14,19.89,278.46
2020-01-22,Caneta Amarela,Cliente Lambda,20,19.25,385.0
2020-01-22,Caneta Amarela,Cliente Tau,14,21.19,296.66
2020-01-22,Caneta Verde,Cliente Delta,75,7.06,529.5
2020-01-22,Caneta Preta,Cliente Delta,36,12.15,437.4
2020-01-22,Caneta Preta,Cliente Kappa,34,11.79,400.86
2020-01-23,Caneta Azul,Cliente Kappa,7,20.42,142.94
2020-01-23,Caneta Azul,Cliente Lambda,15,23.67,355.05
2020-01-23,Caneta Azul,Cliente Kappa,1,19.3,19.3
2020-01-23,Caneta Azul,Cliente Alfa,19,19.58,372.02
2020-01-23,Caneta Amarela,Cliente Lambda,74,22.03,1630.22
2020-01-23,Caneta Verde,Cliente Alfa,55,7.48,411.4
2020-01-23,Caneta Preta,Cliente Tau,77,13.93,1072.61
2020-01-24,Caneta Azul,Cliente Tau,27,24.05,649.35
2020-01-24,Caneta Amarela,Cliente Delta,12,20.25,243.0
2020-01-24,Caneta Amarela,Cliente Tau,10,20.37,203.7
2020-01-24,Caneta Amarela,Cliente Alfa,1,20.38,20.38
2020-01-24,Caneta Verde,Cliente Delta,11,7.89,86.79
2020-01-24,Caneta Verde,Cliente Delta,10,7.01,70.1
2020-01-24,Caneta Verde,Cliente Kappa,9,7.77,69.93
2020-01-24,Caneta Preta,Cliente Lambda,34,14.62,497.08
2020-01-24,Caneta Preta,Cliente Delta,28,13.44,376.32
2020-01-24,Caneta Preta,Cliente Tau,21,13.8,289.8
2020-01-24,Caneta Preta,Cliente Alfa,1,14.44,14.44
2020-01-25,Caneta Azul,Cliente Alfa,17,20.94,355.98
2020-01-25,Caneta Azul,Cliente Tau,30,22.87,686.1
2020-01-25,Caneta Azul,Cliente Delta,8,21.42,171.36
2020-01-25,Caneta Amarela,Cliente Tau,21,18.59,390.39
2020-01-25,Caneta Amarela,Cliente Tau,15,18.28,274.2
2020-01-25,Caneta Amarela,Cliente Delta,16,18.88,302.08
2020-01-25,Caneta Verde,Cliente Alfa,6,7.97,47.82
2020-01-25,Caneta Verde,Cliente Delta,15,9.09,136.35
2020-01-25,Caneta Verde,Cliente Lambda,12,8.97,107.64
2020-01-25,Caneta Verde,Cliente Tau,6,8.6,51.6
2020-01-25,Caneta Preta,Cliente Delta,20,13.74,274.8
2020-01-25,Caneta Preta,Cliente Tau,25,12.56,314.0
2020-01-25,Caneta Preta,Cliente Tau,14,12.74,178.36
2020-01-25,Caneta Preta,Cliente Tau,20,13.15,263.0
2020-01-26,Caneta Azul,Cliente Kappa,14,19.8,277.2
2020-01-26,Caneta Azul,Cliente Alfa,1,22.94,22.94
2020-01-26,Caneta Azul,Cliente Kappa,20,20.07,401.4
2020-01-26,Caneta Azul,Cliente Alfa,21,19.38,406.98
2020-01-26,Caneta Amarela,Cliente Delta,1,17.54,17.54
2020-01-26,Caneta Amarela,Cliente Kappa,2,23.15,46.3
2020-01-26,Caneta Amarela,Cliente Tau,13,18.69,242.97
2020-01-26,Caneta Amarela,Cliente Kappa,1,21.28,21.28
2020-01-26,Caneta Verde,Cliente Kappa,49,8.12,397.88
2020-01-26,Caneta Verde,Cliente Kappa,23,9.25,212.75
2020-01-26,Caneta Preta,Cliente Tau,21,15.22,319.62
2020-01-26,Caneta Preta,Cliente Kappa,13,12.16,158.08
2020-01-26,Caneta Preta,Cliente Delta,19,13.75,261.25
2020-01-27,Caneta Azul,Cliente Alfa,31,24.37,755.47
2020-01-27,Caneta Azul,Cliente Tau,32,20.39,652.48
2020-01-27,Caneta Amarela,Cliente Kappa,51,22.08,1126.08
2020-01-27,Caneta Verde,Cliente Kappa,36,7.84,282.24
2020-01-27,Caneta Verde,Cliente Tau,17,8.97,152.49
2020-01-27,Caneta Verde,Cliente Kappa,6,8.04,48.24
2020-01-27,Caneta Preta,Cliente Kappa,1,12.65,12.65
2020-01-27,Caneta Preta,Cliente Delta,16,12.37,197.92
2020-01-27,Caneta Preta,Cliente Delta,29,15.06,436.74
2020-01-27,Caneta Preta,Cliente Delta,19,15.09,286.71
2020-01-28,Caneta Azul,Cliente Delta,10,25.34,253.4
2020-01-28,Caneta Azul,Cliente Alfa,20,23.25,465.0
2020-01-28,Caneta Amarela,Cliente Lambda,10,21.96,219.6
2020-01-28,Caneta Amarela,Cliente Alfa,18,22.56,406.08
2020-01-28,Caneta Amarela,Cliente Kappa,13,21.93,285.09
2020-01-28,Caneta Verde,Cliente Kappa,17,7.57,128.69
2020-01-28,Caneta Verde,Cliente Lambda,32,9.12,291.84
2020-01-28,Caneta Preta,Cliente Tau,54,11.88,641.52
2020-01-28,Caneta Preta,Cliente Alfa,38,14.85,564.3
2020-01-29,Caneta Azul,Cliente Kappa,9,24.39,219.51
2020-01-29,Caneta Azul,Cliente Kappa,13,23.88,310.44
2020-01-29,Caneta Azul,Cliente Delta,12,23.87,286.44
2020-01-29,Caneta Amarela,Cliente Delta,28,20.44,572.32
2020-01-29,Caneta Amarela,Cliente Delta,14,18.25,255.5
2020-01-29,Caneta Amarela,Cliente Kappa,10,22.65,226.5
2020-01-29,Caneta Amarela,Cliente Tau,6,19.95,119.7
2020-01-29,Caneta Verde,Cliente Delta,27,8.46,228.42
2020-01-29,Caneta Verde,Cliente Delta,46,7.01,322.46
2020-01-29,Caneta Verde,Cliente Tau,4,9.23,36.92
2020-01-29,Caneta Preta,Cliente Alfa,39,13.76,536.64
2020-01-29,Caneta Preta,Cliente Kappa,49,13.88,680.12
2020-01-30,Caneta Azul,Cliente Kappa,18,25.31,455.58
2020-01-30,Caneta Azul,Cliente Tau,22,19.79,435.38
2020-01-30,Caneta Azul,Cliente Tau,28,25.65,718.2
2020-01-30,Caneta Azul,Cliente Alfa,23,21.71,499.33
2020-01-30,Caneta Amarela,Cliente Kappa,27,22.01,594.27
2020-01-30,Caneta Amarela,Cliente Delta,25,17.18,429.5
2020-01-30,Caneta Verde,Cliente Delta,10,8.28,82.8
2020-01-30,Caneta Verde,Cliente Kappa,21,7.81,164.01
2020-01-30,Caneta Preta,Cliente Kappa,38,12.34,468.92
2020-01-30,Caneta Preta,Cliente Kappa,45,13.26,596.7
2020-01-31,Caneta Azul,Cliente Lambda,26,22.38,581.88
2020-01-31,Caneta Azul,Cliente Alfa,31,21.47,665.57
2020-01-31,Caneta Amarela,Cliente Kappa,42,17.23,723.66
2020-01-31,Caneta Amarela,Cliente Tau,13,21.17,275.21
2020-01-31,Caneta Verde,Cliente Delta,26,7.17,186.42
2020-01-31,Caneta Verde,Cliente Delta,35,8.42,294.7
2020-01-31,Caneta Preta,Cliente Kappa,29,12.28,356.12
2020-01-31,Caneta Preta,Cliente Kappa,29,15.06,436.74
2020-01-31,Caneta Preta,Cliente Kappa,25,11.58,289.5
2020-02-01,Caneta Azul,Cliente Kappa,34,19.47,661.98
2020-02-01,Caneta Azul,Cliente Tau,5,24.24,121.2
2020-02-01,Caneta Azul,Cliente Lambda,17,21.99,373.83
2020-02-01,Caneta Amarela,Cliente Lambda,4,18.09,72.36
2020-02-01,Caneta Verde,Cliente Tau,16,9.29,148.64
2020-02-01,Caneta Verde,Cliente Alfa,12,7.88,94.56
2020-02-01,Caneta Verde,Cliente Delta,15,7.97,119.55
2020-02-01,Caneta Preta,Cliente Delta,27,11.54,311.58
2020-02-01,Caneta Preta,Cliente Tau,29,12.33,357.57
2020-02-01,Caneta Preta,Cliente Tau,3,11.51,34.53
2020-02-02,Caneta Azul,Cliente Kappa,15,20.23,303.45
2020-02-02,Caneta Azul,Cliente Kappa,13,23.42,304.46
2020-02-02,Caneta Azul,Cliente Delta,11,20.66,227.26
2020-02-02,Caneta Amarela,Cliente Kappa,17,22.18,377.06
2020-02-02,Caneta Amarela,Cliente Lambda,15,19.56,293.4
2020-02-02,Caneta Amarela,Cliente Alfa,3,18.93,56.79
2020-02-02,Caneta Amarela,Cliente Tau,12,22.58,270.96
2020-02-02,Caneta Verde,Cliente Delta,10,8.0,80.0
2020-02-02,Caneta Verde,Cliente Alfa,11,7.89,86.79
2020-02-02,Caneta Verde,Cliente Alfa,14,8.41,117.74
2020-02-02,Caneta Preta,Cliente Kappa,8,13.08,104.64
2020-02-02,Caneta Preta,Cliente Delta,2,12.62,25.24
2020-02-02,Caneta Preta,Cliente Kappa,33,15.26,503.58
2020-02-02,Caneta Preta,Cliente Alfa,15,14.94,224.1
2020-02-03,Caneta Azul,Cliente Kappa,50,24.4,1220.0
2020-02-03,Caneta Azul,Cliente Delta,36,21.89,788.04
2020-02-03,Caneta Amarela,Cliente Delta,28,18.71,523.88
2020-02-03,Caneta Amarela,Cliente Lambda,24,23.11,554.64
2020-02-03,Caneta Amarela,Cliente Tau,21,20.34,427.14
2020-02-03,Caneta Amarela,Cliente Delta,18,17.26,310.68
2020-02-03,Caneta Verde,Cliente Delta,1,8.32,8.32
2020-02-03,Caneta Verde,Cliente Lambda,16,8.56,136.96
2020-02-03,Caneta Verde,Cliente Lambda,8,6.99,55.92
2020-02-03,Caneta Verde,Cliente Kappa,16,7.3,116.8
2020-02-03,Caneta Preta,Cliente Lambda,40,14.12,564.8
2020-02-03,Caneta Preta,Cliente Kappa,13,13.53,175.89
2020-02-03,Caneta Preta,Cliente Alfa,17,11.62,197.54
2020-02-03,Caneta Preta,Cliente Kappa,32,11.77,376.64
2020-02-04,Caneta Azul,Cliente Tau,3,21.65,64.95
2020-02-04,Caneta Azul,Cliente Kappa,19,20.97,398.43
2020-02-04,Caneta Azul,Cliente Lambda,25,21.03,525.75
2020-02-04,Caneta Azul,Cliente Kappa,7,22.84,159.88
2020-02-04,Caneta Amarela,Cliente Alfa,29,22.82,661.78
2020-02-04,Caneta Amarela,Cliente Alfa,25,17.34,433.5
2020-02-04,Caneta Amarela,Cliente Kappa,37,18.74,693.38
2020-02-04,Caneta Verde,Cliente Kappa,50,8.18,409.0
2020-02-04,Caneta Preta,Cliente Alfa,22,14.54,319.88
2020-02-04,Caneta Preta,Cliente Kappa,13,14.21,184.73
2020-02-04,Caneta Preta,Cliente Kappa,22,13.19,290.18
2020-02-05,Caneta Azul,Cliente Alfa,22,24.4,536.8
2020-02-05,Caneta Azul,Cliente Lambda,18,23.0,414.0
2020-02-05,Caneta Azul,Cliente Delta,34,21.46,729.64
2020-02-05,Caneta Amarela,Cliente Delta,8,20.43,163.44
2020-02-05,Caneta Amarela,Cliente Alfa,13,22.04,286.52
2020-02-05,Caneta Amarela,Cliente Alfa,15,21.14,317.1
2020-02-05,Caneta Amarela,Cliente Alfa,5,18.66,93.3
2020-02-05,Caneta Verde,Cliente Kappa,24,9.39,225.36
2020-02-05,Caneta Verde,Cliente Delta,36,9.28,334.08
2020-02-05,Caneta Preta,Cliente Lambda,96,11.57,1110.72
2020-02-06,Caneta Azul,Cliente Delta,22,25.24,555.28
2020-02-06,Caneta Azul,Cliente Delta,23,24.7,568.1
2020-02-06,Caneta Azul,Cliente Lambda,11,21.17,232.87
2020-02-06,Caneta Amarela,Cliente Kappa,16,17.88,286.08
2020-02-06,Caneta Amarela,Cliente Alfa,14,19.21,268.94
2020-02-06,Caneta Amarela,Cliente Tau,7,21.54,150.78
2020-02-06,Caneta Verde,Cliente Lambda,14,8.29,116.06
2020-02-06,Caneta Verde,Cliente Tau,12,8.5,102.0
2020-02-06,Caneta Verde,Cliente Lambda,26,9.14,237.64
2020-02-06,Caneta Verde,Cliente Kappa,7,7.02,49.14
2020-02-06,Caneta Preta,Cliente Tau,47,15.22,715.34
2020-02-06,Caneta Preta,Cliente Lambda,47,14.66,689.02
2020-02-07,Caneta Azul,Cliente Lambda,30,22.25,667.5
2020-02-07,Caneta Azul,Cliente Alfa,26,25.64,666.64
2020-02-07,Caneta Azul,Cliente Alfa,20,24.19,483.8
2020-02-07,Caneta Amarela,Cliente Delta,8,21.62,172.96
2020-02-07,Caneta Verde,Cliente Kappa,15,7.83,117.45
2020-02-07,Caneta Verde,Cliente Delta,9,7.54,67.86
2020-02-07,Caneta Verde,Cliente Kappa,9,7.06,63.54
2020-02-07,Caneta Preta,Cliente Delta,11,14.17,155.87
2020-02-07,Caneta Preta,Cliente Lambda,29,15.24,441.96
2020-02-08,Caneta Azul,Cliente Delta,49,20.15,987.35
2020-02-08,Caneta Azul,Cliente Tau,14,25.69,359.66
2020-02-08,Caneta Amarela,Cliente Lambda,31,20.26,628.06
2020-02-08,Caneta Amarela,Cliente Tau,13,18.49,240.37
2020-02-08,Caneta Amarela,Cliente Delta,14,18.28,255.92
2020-02-08,Caneta Amarela,Cliente Kappa,13,17.5,227.5
2020-02-08,Caneta Verde,Cliente Alfa,17,8.82,149.94
2020-02-08,Caneta Verde,Cliente Kappa,11,8.67,95.37
2020-02-08,Caneta Verde,Cliente Kappa,23,7.51,172.73
2020-02-08,Caneta Verde,Cliente Lambda,17,7.51,127.67
2020-02-08,Caneta Preta,Cliente Tau,34,13.77,468.18
2020-02-08,Caneta Preta,Cliente Tau,21,15.02,315.42
2020-02-08,Caneta Preta,Cliente Lambda,23,15.29,351.67
2020-02-08,Caneta Preta,Cliente Kappa,29,14.08,408.32
2020-02-09,Caneta Azul,Cliente Delta,22,21.78,479.16
2020-02-09,Caneta Azul,Cliente Alfa,29,21.53,624.37
2020-02-09,Caneta Azul,Cliente Alfa,36,22.36,804.96
2020-02-09,Caneta Amarela,Cliente Alfa,9,22.31,200.79
2020-02-09,Caneta Amarela,Cliente Lambda,15,20.15,302.25
2020-02-09,Caneta Amarela,Cliente Alfa,29,22.15,642.35
2020-02-09,Caneta Verde,Cliente Tau,36,8.35,300.6
2020-02-09,Caneta Verde,Cliente Tau,15,7.62,114.3
2020-02-09,Caneta Preta,Cliente Tau,48,14.09,676.32
2020-02-09,Caneta Preta,Cliente Lambda,45,14.25,641.25
2020-02-10,Caneta Azul,Cliente Delta,27,24.09,650.43
2020-02-10,Caneta Azul,Cliente Kappa,31,20.1,623.1
2020-02-10,Caneta Azul,Cliente Delta,16,24.03,384.48
