Data,Maquina,Motivo,Horas_paradas
2020-03-02,MC-5,Ajuste de processo,2.52
2020-03-02,MC-5,Falta de material,3.26
2020-03-02,MC-5,Falta de material,3.97
2020-03-03,MC-3,Ajuste de processo,3.76
2020-03-03,MC-3,Setup,0.48
2020-03-03,MC-5,Limpeza,1.25
2020-03-04,MC-2,Quebra,1.82
2020-03-04,MC-3,Ajuste de processo,3.54
2020-03-04,MC-3,Limpeza,1.63
2020-03-04,MC-3,Troca de ferramenta,2.41
2020-03-06,MC-3,Manutenção,2.74
2020-03-07,MC-2,Falta de material,1.4
2020-03-08,MC-1,Quebra,2.45
2020-03-08,MC-1,Setup,0.49
2020-03-08,MC-1,Ajuste de processo,2.08
2020-03-08,MC-2,Quebra,1.7
2020-03-08,MC-2,Falta de energia,1.62
2020-03-08,MC-2,Limpeza,1.17
2020-03-09,MC-1,Troca de ferramenta,3.33
2020-03-09,MC-1,Limpeza,3.56
2020-03-09,MC-1,Falta de energia,3.59
2020-03-09,MC-3,Falta de material,1.77
2020-03-12,MC-1,Quebra,1.26
2020-03-12,MC-2,Limpeza,0.66
2020-03-12,MC-2,Falta de energia,2.79
2020-03-12,MC-2,Manutenção,1.52
2020-03-12,MC-5,Quebra,1.32
2020-03-12,MC-5,Falta de material,1.67
2020-03-12,MC-5,Ajuste de processo,2.35
2020-03-13,MC-3,Ajuste de processo,0.9
2020-03-13,MC-3,Setup,3.86
2020-03-13,MC-3,Manutenção,3.01
2020-03-13,MC-4,Limpeza,0.47
2020-03-13,MC-4,Limpeza,1.44
2020-03-15,MC-3,Manutenção,0.49
2020-03-15,MC-3,Manutenção,1.15
2020-03-15,MC-3,Manutenção,1.36
2020-03-16,MC-2,Falta de energia,2.96
2020-03-16,MC-2,Falta de material,2.96
2020-03-16,MC-2,Falta de material,0.47
2020-03-16,MC-4,Troca de ferramenta,2.48
2020-03-16,MC-4,Falta de energia,3.86
2020-03-16,MC-4,Falta de material,2.62
2020-03-16,MC-5,Falta de material,3.85
2020-03-16,MC-5,Setup,1.71
2020-03-16,MC-5,Manutenção,2.0
2020-03-18,MC-1,Falta de material,2.13
2020-03-18,MC-1,Ajuste de processo,3.72
2020-03-18,MC-1,Setup,1.71
2020-03-18,MC-2,Limpeza,3.94
2020-03-18,MC-4,Quebra,2.31
2020-03-18,MC-4,Setup,1.11
2020-03-18,MC-5,Ajuste de processo,0.68
2020-03-19,MC-2,Manutenção,0.94
2020-03-19,MC-2,Limpeza,0.45
2020-03-19,MC-5,Manutenção,2.86
2020-03-19,MC-5,Limpeza,2.21
2020-03-20,MC-3,Troca de ferramenta,3.03
2020-03-20,MC-3,Setup,3.19
2020-03-21,MC-2,Limpeza,3.75
2020-03-21,MC-2,Falta de energia,0.73
2020-03-21,MC-4,Falta de energia,0.99
2020-03-23,MC-3,Setup,2.33
2020-03-23,MC-4,Limpeza,0.78
2020-03-23,MC-4,Manutenção,0.64
2020-03-24,MC-2,Troca de ferramenta,2.77
2020-03-26,MC-1,Limpeza,2.98
2020-03-26,MC-2,Limpeza,3.42
2020-03-26,MC-2,Ajuste de processo,3.69
2020-03-26,MC-2,Setup,1.94
2020-03-27,MC-2,Falta de material,3.93
2020-03-27,MC-2,Troca de ferramenta,0.44
2020-03-27,MC-3,Falta de material,3.52
2020-03-27,MC-3,Manutenção,1.49
2020-03-28,MC-2,Limpeza,3.71
2020-03-29,MC-1,Falta de material,1.12
2020-03-29,MC-1,Manutenção,3.04
2020-03-29,MC-1,Falta de material,1.87
2020-03-30,MC-2,Troca de ferramenta,1.71
2020-03-30,MC-2,Limpeza,0.52
2020-03-30,MC-3,Setup,2.91
2020-03-30,MC-3,Falta de energia,0.95
2020-03-31,MC-2,Manutenção,2.01
2020-04-01,MC-3,Quebra,0.82
2020-04-01,MC-3,Manutenção,2.54
2020-04-01,MC-4,Falta de material,1.15
2020-04-01,MC-4,Ajuste de processo,2.5
2020-04-02,MC-1,Falta de energia,3.8
2020-04-02,MC-3,Ajuste de processo,3.71
2020-04-02,MC-3,Manutenção,1.04
2020-04-02,MC-5,Manutenção,0.67
2020-04-03,MC-1,Falta de material,0.46
2020-04-04,MC-2,Limpeza,3.37
2020-04-04,MC-2,Quebra,1.22
2020-04-04,MC-2,Troca de ferramenta,1.35
2020-04-07,MC-1,Manutenção,1.14
2020-04-07,MC-1,Troca de ferramenta,3.41
2020-04-07,MC-1,Manutenção,3.92
2020-04-07,MC-2,Falta de material,3.09
2020-04-08,MC-4,Limpeza,3.35
2020-04-08,MC-4,Troca de ferramenta,2.6
2020-04-08,MC-5,Setup,2.26
2020-04-08,MC-5,Setup,2.97
2020-04-08,MC-5,Ajuste de processo,0.43
2020-04-09,MC-1,Troca de ferramenta,0.53
2020-04-09,MC-1,Manutenção,2.84
2020-04-09,MC-4,Limpeza,1.54
2020-04-09,MC-4,Setup,2.11
2020-04-09,MC-4,Troca de ferramenta,3.19
2020-04-09,MC-5,Setup,2.44
2020-04-10,MC-5,Falta de material,3.28
2020-04-10,MC-5,Quebra,1.85
2020-04-10,MC-5,Limpeza,1.36
2020-04-12,MC-5,Setup,1.17
2020-04-12,MC-5,Manutenção,0.79
2020-04-12,MC-5,Troca de ferramenta,0.44
2020-04-13,MC-3,Falta de energia,0.5
2020-04-13,MC-3,Limpeza,1.3
2020-04-16,MC-3,Manutenção,1.33
2020-04-16,MC-3,Setup,1.71
2020-04-16,MC-3,Falta de material,2.49
2020-04-17,MC-4,Falta de energia,3.11
2020-04-17,MC-4,Quebra,1.03
2020-04-18,MC-1,Quebra,3.11
2020-04-23,MC-1,Troca de ferramenta,0.81
2020-04-23,MC-4,Quebra,3.96
2020-04-24,MC-5,Ajuste de processo,1.35
2020-04-24,MC-5,Falta de material,3.4
2020-04-24,MC-5,Limpeza,1.0
2020-04-26,MC-3,Quebra,3.82
2020-04-26,MC-3,Troca de ferramenta,3.36
2020-04-28,MC-2,Troca de ferramenta,1.63
2020-04-28,MC-2,Falta de material,1.86
2020-04-28,MC-3,Setup,0.31
2020-04-28,MC-3,Quebra,1.23
2020-04-28,MC-3,Falta de material,1.37
2020-04-28,MC-5,Falta de energia,1.98
2020-04-29,MC-3,Manutenção,0.81
2020-05-01,MC-2,Falta de material,2.07
2020-05-01,MC-4,Falta de energia,2.77
2020-05-01,MC-4,Manutenção,1.67
2020-05-01,MC-4,Limpeza,1.16
2020-05-01,MC-5,Setup,2.33
2020-05-02,MC-2,Falta de material,0.41
2020-05-04,MC-1,Falta de energia,1.56
2020-05-04,MC-3,Troca de ferramenta,2.25
2020-05-04,MC-3,Quebra,1.54
2020-05-04,MC-3,Ajuste de processo,1.58
2020-05-05,MC-1,Ajuste de processo,3.44
2020-05-06,MC-5,Troca de ferramenta,3.76
2020-05-06,MC-5,Troca de ferramenta,3.36
2020-05-07,MC-1,Falta de energia,0.67
2020-05-07,MC-1,Limpeza,1.37
2020-05-08,MC-1,Falta de energia,2.93
2020-05-08,MC-1,Ajuste de processo,3.91
2020-05-08,MC-1,Ajuste de processo,1.2
2020-05-08,MC-5,Falta de energia,3.62
2020-05-08,MC-5,Falta de material,3.03
2020-05-09,MC-4,Ajuste de processo,3.94
2020-05-09,MC-4,Falta de material,0.65
2020-05-10,MC-2,Falta de material,1.76
2020-05-10,MC-5,Falta de energia,2.07
2020-05-10,MC-5,Ajuste de processo,2.79
2020-05-10,MC-5,Falta de material,2.72
2020-05-11,MC-5,Manutenção,3.65
2020-05-11,MC-5,Limpeza,3.4
2020-05-13,MC-1,Limpeza,0.5
2020-05-16,MC-1,Falta de energia,2.1
2020-05-16,MC-1,Falta de material,1.81
2020-05-16,MC-3,Limpeza,3.99
2020-05-16,MC-3,Falta de material,1.88
2020-05-16,MC-3,Manutenção,2.83
2020-05-16,MC-4,Quebra,1.35
2020-05-16,MC-4,Ajuste de processo,2.57
2020-05-16,MC-5,Falta de material,1.06
2020-05-16,MC-5,Limpeza,2.53
2020-05-16,MC-5,Limpeza,3.51
2020-05-17,MC-2,Falta de energia,0.37
2020-05-17,MC-2,Ajuste de processo,2.17
2020-05-18,MC-3,Setup,3.93
2020-05-19,MC-2,Limpeza,0.89
2020-05-19,MC-2,Ajuste de processo,0.98
2020-05-19,MC-3,Ajuste de processo,2.04
2020-05-19,MC-3,Falta de material,3.52
2020-05-20,MC-2,Falta de energia,2.38
2020-05-20,MC-2,Quebra,2.18
2020-05-20,MC-3,Falta de energia,0.62
2020-05-20,MC-3,Falta de energia,3.86
2020-05-20,MC-3,Falta de material,1.58
2020-05-20,MC-4,Manutenção,1.23
2020-05-22,MC-1,Manutenção,1.82
2020-05-22,MC-1,Limpeza,1.83
2020-05-22,MC-2,Limpeza,2.0
2020-05-22,MC-3,Manutenção,2.85
2020-05-23,MC-1,Limpeza,3.51
2020-05-23,MC-1,Manutenção,0.51
2020-05-23,MC-1,Ajuste de processo,2.12
2020-05-25,MC-4,Setup,1.83
2020-05-26,MC-1,Troca de ferramenta,0.34
2020-05-26,MC-1,Ajuste de processo,3.32
2020-05-26,MC-1,Falta de material,0.69
2020-05-26,MC-2,Troca de ferramenta,0.72
2020-05-26,MC-3,Falta de energia,0.48
2020-05-27,MC-1,Falta de material,1.04
2020-05-27,MC-1,Troca de ferramenta,0.95
2020-05-27,MC-4,Setup,1.59
2020-05-27,MC-4,Ajuste de processo,2.74
2020-05-27,MC-5,Quebra,0.5
2020-05-27,MC-5,Falta de energia,3.48
2020-05-28,MC-4,Falta de energia,1.51
2020-05-28,MC-4,Falta de energia,2.54
2020-05-29,MC-2,Limpeza,0.34
2020-05-30,MC-2,Falta de material,1.65
2020-05-30,MC-2,Quebra,0.31
2020-05-30,MC-5,Ajuste de processo,0.91
2020-05-31,MC-5,Falta de energia,1.96
2020-06-01,MC-1,Falta de material,2.28
2020-06-01,MC-1,Falta de energia,0.87
2020-06-02,MC-5,Quebra,3.06
2020-06-02,MC-5,Falta de material,1.0
2020-06-03,MC-5,Falta de energia,0.73
2020-06-03,MC-5,Troca de ferramenta,1.53
2020-06-04,MC-3,Quebra,2.34
2020-06-04,MC-3,Setup,3.96
2020-06-04,MC-5,Falta de material,1.85
2020-06-04,MC-5,Falta de material,1.88
2020-06-05,MC-1,Quebra,0.52
2020-06-05,MC-1,Troca de ferramenta,3.13
2020-06-05,MC-5,Falta de energia,0.97
2020-06-07,MC-3,Ajuste de processo,3.06
2020-06-07,MC-3,Ajuste de processo,3.67
2020-06-08,MC-4,Falta de energia,3.14
2020-06-08,MC-4,Ajuste de processo,2.68
2020-06-09,MC-5,Limpeza,2.53
2020-06-10,MC-4,Setup,1.98
2020-06-10,MC-4,Ajuste de processo,0.83
2020-06-10,MC-5,Falta de energia,3.18
2020-06-10,MC-5,Falta de energia,2.07
2020-06-10,MC-5,Falta de material,2.61
2020-06-11,MC-2,Falta de material,1.68
2020-06-11,MC-2,Limpeza,1.04
2020-06-11,MC-3,Limpeza,3.28
2020-06-12,MC-1,Setup,1.57
2020-06-13,MC-3,Falta de material,3.51
2020-06-13,MC-3,Manutenção,3.87
2020-06-14,MC-1,Manutenção,3.37
2020-06-14,MC-2,Troca de ferramenta,0.77
2020-06-15,MC-2,Troca de ferramenta,3.46
2020-06-15,MC-2,Quebra,2.22
2020-06-15,MC-4,Falta de energia,1.19
2020-06-17,MC-2,Falta de material,0.64
2020-06-17,MC-2,Manutenção,1.33
2020-06-18,MC-5,Troca de ferramenta,0.81
2020-06-18,MC-5,Quebra,0.39
2020-06-20,MC-5,Quebra,3.95
2020-06-22,MC-5,Falta de material,3.38
2020-06-22,MC-5,Ajuste de processo,3.03
2020-06-23,MC-3,Falta de material,1.01
2020-06-23,MC-3,Limpeza,0.4
2020-06-23,MC-3,Manutenção,2.1
2020-06-23,MC-4,Quebra,3.04
2020-06-24,MC-1,Falta de material,3.86
2020-06-24,MC-1,Ajuste de processo,3.42
2020-06-24,MC-1,Falta de material,3.61
2020-06-24,MC-3,Limpeza,1.18
2020-06-24,MC-3,Falta de energia,0.87
2020-06-24,MC-3,Falta de material,1.22
2020-06-25,MC-2,Limpeza,0.81
2020-06-25,MC-5,Troca de ferramenta,3.25
2020-06-25,MC-5,Troca de ferramenta,3.64
2020-06-26,MC-2,Limpeza,1.44
2020-06-26,MC-2,Falta de energia,3.54
2020-06-26,MC-2,Limpeza,0.5
2020-06-27,MC-4,Ajuste de processo,2.81
2020-06-27,MC-4,Falta de energia,2.25
2020-06-27,MC-4,Ajuste de processo,1.32
2020-06-28,MC-1,Setup,3.14
2020-06-28,MC-4,Limpeza,1.08
2020-06-28,MC-4,Manutenção,1.84
2020-06-28,MC-5,Falta de material,2.93
2020-06-29,MC-4,Manutenção,1.55
2020-06-29,MC-4,Manutenção,3.46
2020-06-29,MC-4,Ajuste de processo,3.5
2020-07-02,MC-2,Falta de energia,1.05
2020-07-03,MC-3,Quebra,1.93
2020-07-03,MC-3,Manutenção,1.9
2020-07-04,MC-1,Ajuste de processo,1.82
2020-07-04,MC-2,Setup,2.16
2020-07-04,MC-2,Falta de energia,0.58
2020-07-04,MC-2,Falta de energia,3.52
2020-07-04,MC-4,Troca de ferramenta,1.37
2020-07-04,MC-4,Quebra,0.31
2020-07-05,MC-3,Limpeza,2.83
2020-07-05,MC-5,Setup,2.71
2020-07-05,MC-5,Limpeza,3.94
2020-07-06,MC-5,Troca de ferramenta,2.96
2020-07-06,MC-5,Troca de ferramenta,1.53
2020-07-06,MC-5,Limpeza,3.82
2020-07-07,MC-2,Ajuste de processo,1.65
2020-07-08,MC-1,Manutenção,3.34
2020-07-08,MC-4,Falta de energia,1.54
2020-07-08,MC-5,Falta de material,0.48
2020-07-08,MC-5,Limpeza,3.02
2020-07-08,MC-5,Manutenção,1.6
2020-07-09,MC-1,Ajuste de processo,1.55
2020-07-09,MC-1,Troca de ferramenta,2.95
2020-07-09,MC-4,Falta de energia,1.49
2020-07-09,MC-4,Ajuste de processo,0.74
2020-07-10,MC-1,Limpeza,1.8
2020-07-10,MC-1,Limpeza,3.35
2020-07-10,MC-1,Manutenção,0.78
2020-07-10,MC-2,Quebra,2.35
2020-07-10,MC-2,Quebra,0.79
2020-07-10,MC-4,Setup,0.48
2020-07-10,MC-4,Manutenção,1.7
2020-07-12,MC-2,Quebra,2.73
2020-07-13,MC-2,Quebra,1.32
2020-07-13,MC-2,Setup,1.95
2020-07-14,MC-2,Troca de ferramenta,2.12
2020-07-14,MC-2,Falta de energia,3.41
2020-07-14,MC-2,Falta de energia,3.33
2020-07-14,MC-3,Falta de energia,0.31
2020-07-15,MC-3,Troca de ferramenta,1.83
2020-07-15,MC-3,Falta de material,2.73
2020-07-15,MC-3,Manutenção,3.45
2020-07-15,MC-4,Quebra,0.48
2020-07-15,MC-4,Falta de energia,2.62
2020-07-15,MC-5,Falta de material,3.42
2020-07-15,MC-5,Troca de ferramenta,1.24
2020-07-15,MC-5,Manutenção,1.06
2020-07-16,MC-1,Limpeza,2.03
2020-07-18,MC-4,Falta de energia,3.86
2020-07-18,MC-4,Ajuste de processo,2.86
2020-07-19,MC-2,Limpeza,1.87
2020-07-19,MC-2,Quebra,0.38
2020-07-19,MC-3,Ajuste de processo,2.36
2020-07-19,MC-3,Troca de ferramenta,1.59
2020-07-19,MC-3,Quebra,0.99
2020-07-20,MC-3,Falta de energia,2.15
2020-07-20,MC-3,Ajuste de processo,1.56
2020-07-20,MC-3,Falta de energia,0.44
2020-07-20,MC-4,Ajuste de processo,2.98
2020-07-20,MC-4,Troca de ferramenta,3.01
2020-07-21,MC-2,Setup,2.59
2020-07-21,MC-3,Quebra,3.41
2020-07-21,MC-3,Quebra,1.05
2020-07-21,MC-4,Ajuste de processo,1.36
2020-07-21,MC-4,Setup,2.0
2020-07-23,MC-2,Limpeza,0.52
2020-07-23,MC-2,Troca de ferramenta,3.57
2020-07-24,MC-4,Quebra,2.12
2020-07-24,MC-4,Falta de energia,1.5
2020-07-24,MC-4,Falta de energia,2.07
2020-07-25,MC-2,Ajuste de processo,1.5
2020-07-25,MC-2,Falta de energia,1.36
2020-07-25,MC-2,Setup,1.96
2020-07-26,MC-2,Troca de ferramenta,2.08
2020-07-28,MC-2,Ajuste de processo,1.9
2020-07-28,MC-2,Ajuste de processo,2.33
2020-07-28,MC-3,Manutenção,3.2
2020-07-29,MC-2,Ajuste de processo,0.51
2020-07-29,MC-3,Limpeza,3.3
2020-07-29,MC-3,Ajuste de processo,1.15
2020-07-29,MC-3,Manutenção,1.23
2020-07-29,MC-4,Limpeza,2.52
2020-07-29,MC-4,Setup,3.91
2020-07-30,MC-1,Limpeza,0.36
2020-07-30,MC-1,Manutenção,2.79
2020-07-30,MC-1,Ajuste de processo,2.88
2020-07-30,MC-5,Manutenção,2.42
2020-07-30,MC-5,Ajuste de processo,0.34
2020-07-30,MC-5,Falta de energia,2.54
2020-07-31,MC-1,Quebra,0.73
2020-07-31,MC-1,Ajuste de processo,0.59
2020-07-31,MC-2,Falta de energia,2.88
2020-07-31,MC-2,Manutenção,2.89
2020-07-31,MC-3,Falta de material,3.59
2020-07-31,MC-3,Ajuste de processo,0.31
2020-07-31,MC-4,Limpeza,1.7
2020-08-01,MC-2,Manutenção,0.35
2020-08-01,MC-2,Setup,1.65
2020-08-01,MC-2,Falta de material,2.12
2020-08-02,MC-1,Ajuste de processo,2.26
2020-08-02,MC-1,Setup,1.62
2020-08-02,MC-1,Falta de material,2.98
2020-08-03,MC-2,Setup,1.84
2020-08-03,MC-2,Limpeza,2.21
2020-08-03,MC-2,Ajuste de processo,3.26
2020-08-04,MC-2,Quebra,0.94
2020-08-04,MC-4,Ajuste de processo,1.49
2020-08-04,MC-4,Troca de ferramenta,2.23
2020-08-04,MC-4,Limpeza,3.14
2020-08-05,MC-1,Limpeza,1.87
2020-08-05,MC-1,Falta de material,0.57
2020-08-05,MC-1,Falta de material,3.96
2020-08-05,MC-5,Falta de material,2.92
2020-08-05,MC-5,Falta de energia,2.97
2020-08-05,MC-5,Ajuste de processo,2.02
2020-08-07,MC-3,Setup,2.32
2020-08-07,MC-3,Falta de material,3.98
2020-08-08,MC-5,Troca de ferramenta,2.5
2020-08-10,MC-3,Manutenção,1.11
2020-08-10,MC-5,Falta de material,3.87
2020-08-10,MC-5,Setup,2.29
2020-08-11,MC-3,Manutenção,0.38
2020-08-12,MC-3,Ajuste de processo,2.42
2020-08-12,MC-3,Falta de material,0.56
2020-08-12,MC-5,Ajuste de processo,2.25
2020-08-13,MC-1,Ajuste de processo,3.35
2020-08-13,MC-1,Limpeza,2.29
2020-08-13,MC-1,Troca de ferramenta,1.68
2020-08-14,MC-1,Manutenção,3.57
2020-08-14,MC-4,Falta de material,3.73
2020-08-14,MC-4,Setup,1.59
2020-08-15,MC-5,Ajuste de processo,2.15
2020-08-15,MC-5,Falta de material,3.94
2020-08-15,MC-5,Troca de ferramenta,0.96
2020-08-17,MC-1,Falta de material,1.4
2020-08-17,MC-3,Ajuste de processo,1.89
2020-08-17,MC-3,Falta de energia,0.67
2020-08-18,MC-1,Falta de material,1.31
2020-08-18,MC-3,Falta de energia,2.32
2020-08-19,MC-2,Ajuste de processo,1.15
2020-08-19,MC-2,Troca de ferramenta,2.84
2020-08-19,MC-2,Manutenção,1.59
2020-08-19,MC-3,Troca de ferramenta,0.63
2020-08-19,MC-3,Manutenção,3.13
2020-08-19,MC-5,Setup,2.4
2020-08-19,MC-5,Falta de material,3.35
2020-08-21,MC-3,Setup,1.63
